FreeCAD,IFC
App::PropertyBool,IfcBoolean:IfcLogical
App::PropertyBoolList,
App::PropertyFloat,IfcReal
App::PropertyFloatList,
App::PropertyFloatConstraint,
App::PropertyPrecision,
App::PropertyQuantity,
App::PropertyQuantityConstraint,
App::PropertyInteger,IfcInteger
App::PropertyIntegerConstraint,
App::PropertyPercent,
App::PropertyEnumeration,
App::PropertyIntegerList,
App::PropertyIntegerSet,
App::PropertyMap,
App::PropertyString,IfcLabel:IfcIdentifier:IfcText
App::PropertyPersistentObject,
App::PropertyUUID,IfcGloballyUniqueId
App::PropertyFont,IfcTextFontName
App::PropertyStringList,
App::PropertyLink,
App::PropertyLinkChild,
App::PropertyLinkGlobal,
App::PropertyLinkHidden,
App::PropertyLinkSub,
App::PropertyLinkSubChild,
App::PropertyLinkSubGlobal,
App::PropertyLinkSubHidden,
App::PropertyLinkList,
App::PropertyLinkListChild,
App::PropertyLinkListGlobal,
App::PropertyLinkListHidden,
App::PropertyLinkSubList,
App::PropertyLinkSubListChild,
App::PropertyLinkSubListGlobal,
App::PropertyLinkSubListHidden,
App::PropertyXLink,
App::PropertyXLinkSub,
App::PropertyXLinkSubHidden,
App::PropertyXLinkSubList,
App::PropertyXLinkList,
App::PropertyMatrix,
App::PropertyVector,
App::PropertyVectorDistance,
App::PropertyPosition,
App::PropertyDirection,
App::PropertyVectorList,
App::PropertyPlacement,
App::PropertyPlacementList,
App::PropertyPlacementLink,
App::PropertyRotation,
App::PropertyColor,
App::PropertyColorList,
App::PropertyMaterial,
App::PropertyMaterialList,
App::PropertyPath,
App::PropertyFile,
App::PropertyFileIncluded,
App::PropertyPythonObject,
App::PropertyExpressionEngine,
App::PropertyAcceleration,
App::PropertyAmountOfSubstance,
App::PropertyAngle,IfcPlaneAngleMeasure
App::PropertyArea,IfcAreaMeasure
App::PropertyCompressiveStrength,
App::PropertyCurrentDensity,
App::PropertyDensity,
App::PropertyDissipationRate,
App::PropertyDistance,IfcLengthMeasure
App::PropertyDynamicViscosity,
App::PropertyElectricalCapacitance,
App::PropertyElectricalConductance,
App::PropertyElectricalConductivity,
App::PropertyElectricalInductance,
App::PropertyElectricalResistance,
App::PropertyElectricCharge,
App::PropertyElectricCurrent,
App::PropertyElectricPotential,
App::PropertyFrequency,IfcFrequencyMeasure
App::PropertyForce,IfcForceMeasure
App::PropertyHeatFlux,IfcHeatFluxDensityMeasure
App::PropertyInverseArea,
App::PropertyInverseLength,
App::PropertyInverseVolume,
App::PropertyKinematicViscosity,
App::PropertyLength,IfcPositiveLengthMeasure
App::PropertyLuminousIntensity,
App::PropertyMagneticFieldStrength,
App::PropertyMagneticFlux,
App::PropertyMagneticFluxDensity,
App::PropertyMagnetization,
App::PropertyMass,IfcMassMeasure
App::PropertyMoment,IfcMomentOfInertiaMeasure
App::PropertyPressure,IfcPressureMeasure
App::PropertyPower,IfcPowerMeasure
App::PropertyShearModulus,IfcShearModulusMeasure
App::PropertySpecificEnergy,
App::PropertySpecificHeat,
App::PropertySpeed,
App::PropertyStiffness,
App::PropertyStiffnessDensity,
App::PropertyStress,
App::PropertyTemperature,IfcThermodynamicTemperatureMeasure
App::PropertyThermalConductivity,IfcThermalConductivityMeasure
App::PropertyThermalExpansionCoefficient,IfcThermalExpansionCoefficientMeasure
App::PropertyThermalTransferCoefficient,IfcThermalTransmittanceMeasure
App::PropertyTime,IfcDateTime:IfcDate:IfcTime:IfcTimeMeasure:IfcTimeStamp
App::PropertyUltimateTensileStrength,
App::PropertyVacuumPermittivity,
App::PropertyVelocity,
App::PropertyVolume,IfcVolumeMeasure
App::PropertyVolumeFlowRate,
App::PropertyVolumetricThermalExpansionCoefficient,
App::PropertyWork,
App::PropertyYieldStrength,
App::PropertyYoungsModulus,
Materials::PropertyMaterial,
Part::PropertyPartShape,
Part::PropertyGeometryList,
Part::PropertyShapeHistory,
Part::PropertyFilletEdges,
Part::PropertyShapeCache,
Part::PropertyTopoShapeList,
Sketcher::PropertyConstraintList,
,IfcBSplineCurveForm
,IfcBSplineSurfaceForm
,IfcBooleanOperator
,IfcKnotType
,IfcNullStyle
,IfcPreferredSurfaceCurveRepresentation
,IfcSIPrefix
,IfcSIUnitName
,IfcSurfaceSide
,IfcTextPath
,IfcTransitionCode
,IfcTrimmingPreference
,IfcAbsorbedDoseMeasure
,IfcAccelerationMeasure
,IfcAmountOfSubstanceMeasure
,IfcAngularVelocityMeasure
,IfcAreaDensityMeasure
,IfcBoxAlignment
,IfcCardinalPointReference
,IfcContextDependentMeasure
,IfcCountMeasure
,IfcCurvatureMeasure
,IfcDayInMonthNumber
,IfcDayInWeekNumber
,IfcDescriptiveMeasure
,IfcDimensionCount
,IfcDoseEquivalentMeasure
,IfcDuration
,IfcDynamicViscosityMeasure
,IfcElectricCapacitanceMeasure
,IfcElectricChargeMeasure
,IfcElectricConductanceMeasure
,IfcElectricCurrentMeasure
,IfcElectricResistanceMeasure
,IfcElectricVoltageMeasure
,IfcEnergyMeasure
,IfcFontStyle
,IfcFontVariant
,IfcFontWeight
,IfcHeatingValueMeasure
,IfcIlluminanceMeasure
,IfcInductanceMeasure
,IfcIntegerCountRateMeasure
,IfcIonConcentrationMeasure
,IfcIsothermalMoistureCapacityMeasure
,IfcKinematicViscosityMeasure
,IfcLanguageId
,IfcLinearForceMeasure
,IfcLinearMomentMeasure
,IfcLinearStiffnessMeasure
,IfcLinearVelocityMeasure
,IfcLuminousFluxMeasure
,IfcLuminousIntensityDistributionMeasure
,IfcLuminousIntensityMeasure
,IfcMagneticFluxDensityMeasure
,IfcMagneticFluxMeasure
,IfcMassDensityMeasure
,IfcMassFlowRateMeasure
,IfcMassPerLengthMeasure
,IfcModulusOfElasticityMeasure
,IfcModulusOfLinearSubgradeReactionMeasure
,IfcModulusOfRotationalSubgradeReactionMeasure
,IfcModulusOfSubgradeReactionMeasure
,IfcMoistureDiffusivityMeasure
,IfcMolecularWeightMeasure
,IfcMonetaryMeasure
,IfcMonthInYearNumber
,IfcNonNegativeLengthMeasure
,IfcNormalisedRatioMeasure
,IfcNumericMeasure
,IfcPHMeasure
,IfcParameterValue
,IfcPlanarForceMeasure
,IfcPositiveInteger
,IfcPositivePlaneAngleMeasure
,IfcPositiveRatioMeasure
,IfcPresentableText
,IfcRadioActivityMeasure
,IfcRatioMeasure
,IfcRotationalFrequencyMeasure
,IfcRotationalMassMeasure
,IfcRotationalStiffnessMeasure
,IfcSectionModulusMeasure
,IfcSectionalAreaIntegralMeasure
,IfcSolidAngleMeasure
,IfcSoundPowerLevelMeasure
,IfcSoundPowerMeasure
,IfcSoundPressureLevelMeasure
,IfcSoundPressureMeasure
,IfcSpecificHeatCapacityMeasure
,IfcSpecularExponent
,IfcSpecularRoughness
,IfcTemperatureGradientMeasure
,IfcTemperatureRateOfChangeMeasure
,IfcTextAlignment
,IfcTextDecoration
,IfcTextTransformation
,IfcThermalAdmittanceMeasure
,IfcThermalResistanceMeasure
,IfcTorqueMeasure
,IfcURIReference
,IfcVaporPermeabilityMeasure
,IfcVolumetricFlowRateMeasure
,IfcWarpingConstantMeasure
,IfcWarpingMomentMeasure
